"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
what_is_involved_v2,hipaa_authorization_and_informed_consent_form_for,"What is involved in the research?",descriptive,"The purpose of this consent form is to ask your permission to collect your clinical information and tissue samples for research purposes. In addition, we are asking your permission to store your blood and a portion of surgery specimen for research studies to be performed now and possibly in the future. Under certain circumstances where it is not possible to obtain a blood sample (i.e. if the researchers are unable to get access to a vein to draw blood), you may be asked to provide a saliva sample through a provided mouthwash kit instead of having your blood drawn. These kits will either be provided for you at the time of your visit once you are consented with a prepaid return envelope, or shipped out to you with a prepaid return envelope. The goal is to extract the DNA from the saliva sample similar to the process of extracting DNA from the blood sample.

If you take part, we will record your clinical information in a database. Most of this information will be derived from your medical records at WCMC-NYPH. However, if you are not seen at WCMC-NYPH, we may contact you or your provider to update our information. It is very important that our records are as complete as possible. Therefore, if you plan to move, please update us with your new contact information. We may periodically ask you to complete questionnaires that ask about your disease and symptoms relating to your disease. If you take part in this study, we may collect tissue samples from you at the times you are already having samples collected from a standard of care procedure. The tissue used will be leftover tissue not needed for diagnosis. Also, extra blood may be taken for research purposes at the time you are already having a clinical blood draw. You will not be required to have additional needle sticks (or blood draws) performed as part of this study. You may be asked to complete questionnaires every 6 months for the first 2 years of your participation and then annually after that. We may periodically contact you by email or by phone call with updates on research that is applicable to you.

Many of the studies to be performed have been planned at this time, but others will be thought of later as new information comes to light. Examples of this use include, but are not limited to, evaluation of proteins and genes (DNA). Genetic material contains information about many different traits, like a personal diary. The traits being tested are heritable, which means that they may be passed on from generation to generation within families. Because genetic testing can have consequences for you as well as your family members, please read this consent form carefully before making a decision about whether or not to participate.
",,,,,,,,,,,,,
how_long_will_i_v2,hipaa_authorization_and_informed_consent_form_for,"How long will I be in the clinical database and tissue bank?",descriptive,"This research involves long-term follow-up. We think you will be in the study for as long as you are alive. You can stop participating at any time. However, if you decide to stop participating in the study, we encourage you to talk to the researcher and your doctor first. The clinical information and tissue you give WCMC under the study will be kept in a database/tissue bank or used by another party forever. Unless you cancel it, permission for WCMC researchers to use or share your protected health information for their research will never end.",,,,,,,,,,,,,
authorization_to_use_v2,hipaa_authorization_and_informed_consent_form_for,"Authorization to use/disclose protected health information for research",descriptive,"Government rules require that researchers get your permission (authorization) to use or share your protected health information. Your medical information may be disclosed to authorized public health or government officials for public health activities when required or authorized by law. If you give permission, the researchers could use or share with the people identified in this authorization any protected health information related to this research from your medical records and from any test results including, but not limited to genetic testing, HIV testing, and hepatitis testing.

If you give permission, the researchers could also use your protected health information to develop new procedures or commercial products. They could share your protected health information with the research sponsor, the WCMC IRB, inspectors who check the research, government agencies and research staff. The information that may be shared could include your medical record number and your research record related to this database/tissue bank. They may not be considered covered entities under the Privacy Rule and your information would not be subject to protections under the Privacy Rule.",,,,,,,,,,,,,
what_are_the_risks_v2,hipaa_authorization_and_informed_consent_form_for,"What are the risks of the clinical database and tissue bank?",descriptive,"<U>Risk of Loss of Confidentiality</U>  
Your clinical information (including protected health information) is being collected while you are participating. This information may be shared with other investigators. Since your personal health information will be used, there is the risk of loss of confidentiality. Every effort will be made to protect your privacy. The government does not require everyone who might see your information to keep it confidential, so it might not remain private. 

Efforts will be made to protect your medical records and other personal information to the extent allowed by law. We use a coding system that protects the identity of individuals who provide samples. The coding system has been reviewed and approved by the Institutional Review Board (IRB). However, we cannot guarantee absolute confidentiality. If information goes to an outside entity then the privacy rule may not apply. You will not be identified personally in any reports or publications resulting from this research study. Your personal information may be disclosed if required by law. Organizations that may request to inspect and/or copy your research and medical records for quality assurance and data analysis include groups such as:
<UL>
<LI>Representatives of Weill Cornell Medical College and New York-Presbyterian Hospital
<LI>The Institutional Review Board (IRB)
<LI>The Office of Human Research Protection (OHRP)
</UL>
By signing this consent form, you authorize access to this confidential information. You also authorize the release of your medical records to WCMC by any other hospitals or institutions where you might receive medical care of any kind while you are participating in this research study.",,,,,,,,,,,,,
are_there_any_benefits_v2,hipaa_authorization_and_informed_consent_form_for,"Are there any benefits to taking part in the study?",descriptive,"We cannot and do not guarantee that you will receive any benefits from this study. We hope to learn more about digestive diseases and how to treat them with this study.",,,,,,,,,,,,,
disclosure_of_results_v2,hipaa_authorization_and_informed_consent_form_for,"Disclosure of results",descriptive,"To the extent permitted by law, under no circumstances will any information linking you to specific test results be disclosed to any individual or organization without your written consent. A new Federal law, called the Genetic Information Nondiscrimination Act (GINA), generally makes it illegal for health insurance companies, health plans, and most employers to discriminate against you based on your genetic information. This law generally will protect you in the following ways:
<UL>
<LI>Health insurance companies and group health plans may not request your genetic information that we get from this research.
<LI>Health insurance companies and group health plans may not use your genetic information when making decisions regarding your eligibility or premiums.
<LI>Employers with 15 or more employees may not use your genetic information that we get from this research when making a decision to hire, promote, or fire you or when setting the terms of your employment.
</UL>
Be aware that this new Federal law does not protect you against genetic discrimination by companies that sell life insurance, disability insurance, or long-term care insurance. Nor does this Federal law prohibit discrimination on the basis of an already manifest genetic disease or disorder.",,,,,,,,,,,,,
test_results_v2,hipaa_authorization_and_informed_consent_form_for,"Test results and future contact",descriptive,"There may be circumstances when WCMC would like to contact you regarding your samples. For example, it is possible that genetic tests will show a link between your genetic information and a disease or condition. Know this information may help you make choices about you or your family's health care. However, some individuals prefer not to know about their genetic information. At the end of this document, you will have the opportunity to tell us whether or not you want to be contacted in the future. Your decision about future contact will not affect your ability to participate in this research.

<U>Risks and Benefits of Future Contact:</U> WCMC wants you to know that there may be both risks and benefits to consenting to future contact.

The potential risks include: You may be upset to learn that you have a greater chance of having a disease or condition. Even if genetic tests show that you do not have a greater risk of disease, you may still be upset if you know that others in your family have that higher risk of disease.

The potential benefits include: You may benefit from the knowledge that you or your family have a predisposition to a certain disease or condition. This knowledge may help you make informed decisions concerning your lifestyle and health care.

The costs associated with any testing or treatment that is required from these test results will be the responsibility of you and your insurance provider.",,,,,,,,,,,,,
future_testing_v2,hipaa_authorization_and_informed_consent_form_for,"Future testing",descriptive,"The samples that you give to WCMC could one day lead to discoveries using methods and tests not yet developed. To that end, WCMC would like to keep the samples for as long as they are deemed useful for research purposes. This research could potentially be used for purposes not specified above.

You have the right to withdraw your consent at any time, and may request that the samples you give to WCMC be destroyed. If you choose to do so, contact your study provider. Although you are free to withdraw your consent, it is possible the samples may have already been used for research purposes and data derived from such research will not be destroyed. In that event, WCMC will promptly destroy any remaining samples. Additionally if WCMC has shared the samples with third parties, WCMC will not be able to destroy the samples. Also, cancelling your permission will not apply to clinical information (including protected health information) that has already been used or shared.",,,,,,,,,,,,,
commercial_interest_v2,hipaa_authorization_and_informed_consent_form_for,"Commercial interest",descriptive,"Materials or data obtained from you in this research may be used for commercial purposes. It is the policy of WCMC not to provide financial compensation to you should this occur.",,,,,,,,,,,,,
what_are_the_costs_v2,hipaa_authorization_and_informed_consent_form_for,"What are the costs?",descriptive,"You or your insurance company will not incur any additional costs by participating in this clinical database and tissue bank.",,,,,,,,,,,,,
compensation_for_part_v2,hipaa_authorization_and_informed_consent_form_for,"Compensation for participation",descriptive,"You will not receive compensation for participating in this study. You should not expect anyone to pay you for pain, worry, lost income, or non-medical care costs that occur from taking part in this research study.",,,,,,,,,,,,,
what_are_my_rights_v2,hipaa_authorization_and_informed_consent_form_for,"What are my rights as a participant?",descriptive,"Taking part in this clinical database and tissue bank is voluntary. You may choose to not take part in the study or to leave the study at any time. If you choose to not participate in the study or to leave the study, your regular care will not be affected nor will your relations with WCMC, your providers, or other medical personnel. In addition, you will not lose any of the benefits to which you are entitled. We will tell you about new information that may affect your health, welfare, or participation in this study.",,,,,,,,,,,,,
questions_problems_v2,hipaa_authorization_and_informed_consent_form_for,"Whom do I call if I have questions or problems?",descriptive,"For questions about the research y or if you think that something unusual or unexpected is happening, call your WCMC provider. If you are calling after hours, please ask to speak with your treating physician. Be sure to inform the answering service of your participation in this research study. If you have questions about your rights as a research participant, contact the WCMC IRB Office. Direct your questions to: Institutional Review Board at:

1300 York Avenue, Box 89
New York, New York 10065

Telephone: (646) 962-8200",,,,,,,,,,,,,
ready_for_questions_statement_v2,hipaa_authorization_and_informed_consent_form_for,"Ready to Speak With a Member of the Research Staff",checkbox,"By clicking this check box, you are stating that you have read the information above. If ready to proceed, please click the submit button and a member of the research staff will come speak to you and answer any questions you may have.","1, I have read the informed consent",,,,,,,y,,,,,
footer_v2,hipaa_authorization_and_informed_consent_form_for,,descriptive,"
<p style=""text-align:left;"">
Weill Cornell Medical College
ICF Version Date 11/10/2016
45108         Rev 10-2012
<span style=""float:right;"">IRB Protocol # 0908010582</span>
</p>
",,,,,,,,,,,,,
title_v2,consent_form_signature,,descriptive,"<u>Project Title:</u> Weill Cornell Digestive Disease Registry",,,,,,,,,,,,,
project_v2,consent_form_signature,,descriptive,"<u>Research Project #:</u> 0908010582",,,,,,,,,,,,,
pi_v2,consent_form_signature,,descriptive,"<u>Principal Investigator:</u> Manish A. Shah, MD",,,,,,,,,,,,,
irb_v2,consent_form_signature,,descriptive,,,,,,,,,,,,,,
mrn_v3,consent_form_signature,,descriptive,"Medical Record Number: [mrn_v2]",,,,,,,,,,,,,
subject_v3,consent_form_signature,,descriptive,"Subject: [subject_v2]",,,,,,,,,,,,,
into_v3,consent_form_signature,"Institution: Weill Cornell Medical College",descriptive,"You are invited to consider participating in a clinical database and tissue bank. You were selected as a possible participant because you have been referred to a provider at Weill Cornell Medical College - New York Presbyterian Hospital. It is important that you read and understand several general principles that apply to all who take part in this project. Taking part in the study is entirely voluntary. You may decide not to participate or you may decide to stop participating in the study at any time without loss of any benefits to which you are entitled. The purpose and nature of the clinical database and tissue bank, possible risks, your rights as a participant, and other information about the study are discussed below. You are urged to ask any questions you have with members of the research team. You should take whatever time you need to discuss the research with your provider and family. The decision to participate or not to participate is yours. If you decide to participate, please sign and date where indicated at the end of this form.

Portions of the clinical database and tissue bank will take place at facilities of New York Presbyterian Hospital (NYPH), where investigators are members of the medical staff. New York Presbyterian Hospital is neither a sponsor nor an investigator for this study.
",,,,,,,,,,,,,
why_v2,consent_form_signature,"Why is the study being done?",descriptive,"This purpose of this project is to collect and store patient information (including protected health information), family histories, and tissue samples and to make these available for future research about digestive disease-related disorders (i.e. inflammatory bowel disease or cancers of the GI tract). Investigators at Weill Cornell Medical College (WCMC) and collaborators at other institutions are collecting information about patients and family members with digestive disease-related disorders, as well as studying their tissue in the laboratory. By studying the clinical course of patients with digestive disease disorders and their family and performing additional laboratory studies, we hope to learn more about these disorders.",,,,,,,,,,,,,
how_many_v2,consent_form_signature,"How many people will take part in the study?",descriptive,"We hope to enroll all participants with digestive diseases and their close relatives in this study at WCMC and New York Presbyterian Hospital WCMC-NYPH.",,,,,,,,,,,,,
what_is_involved_v3,consent_form_signature,"What is involved in the research?",descriptive,"The purpose of this consent form is to ask your permission to collect your clinical information and tissue samples for research purposes. In addition, we are asking your permission to store your blood and a portion of surgery specimen for research studies to be performed now and possibly in the future. Under certain circumstances where it is not possible to obtain a blood sample (i.e. if the researchers are unable to get access to a vein to draw blood), you may be asked to provide a saliva sample through a provided mouthwash kit instead of having your blood drawn. These kits will either be provided for you at the time of your visit once you are consented with a prepaid return envelope, or shipped out to you with a prepaid return envelope. The goal is to extract the DNA from the saliva sample similar to the process of extracting DNA from the blood sample.

If you take part, we will record your clinical information in a database. Most of this information will be derived from your medical records at WCMC-NYPH. However, if you are not seen at WCMC-NYPH, we may contact you or your provider to update our information. It is very important that our records are as complete as possible. Therefore, if you plan to move, please update us with your new contact information. We may periodically ask you to complete questionnaires that ask about your disease and symptoms relating to your disease. If you take part in this study, we may collect tissue samples from you at the times you are already having samples collected from a standard of care procedure. The tissue used will be leftover tissue not needed for diagnosis. Also, extra blood may be taken for research purposes at the time you are already having a clinical blood draw. You will not be required to have additional needle sticks (or blood draws) performed as part of this study. You may be asked to complete questionnaires every 6 months for the first 2 years of your participation and then annually after that. We may periodically contact you by email or by phone call with updates on research that is applicable to you.

Many of the studies to be performed have been planned at this time, but others will be thought of later as new information comes to light. Examples of this use include, but are not limited to, evaluation of proteins and genes (DNA). Genetic material contains information about many different traits, like a personal diary. The traits being tested are heritable, which means that they may be passed on from generation to generation within families. Because genetic testing can have consequences for you as well as your family members, please read this consent form carefully before making a decision about whether or not to participate.",,,,,,,,,,,,,
how_ling_will_i_v3,consent_form_signature,"How long will I be in the clinical database and tissue bank?",descriptive,"This research involves long-term follow-up. We think you will be in the study for as long as you are alive. You can stop participating at any time. However, if you decide to stop participating in the study, we encourage you to talk to the researcher and your doctor first. The clinical information and tissue you give WCMC under the study will be kept in a database/tissue bank or used by another party forever. Unless you cancel it, permission for WCMC researchers to use or share your protected health information for their research will never end.",,,,,,,,,,,,,
authorization_to_use_v3,consent_form_signature,"Authorization to use/disclose protected health information for research",descriptive,"Government rules require that researchers get your permission (authorization) to use or share your protected health information. Your medical information may be disclosed to authorized public health or government officials for public health activities when required or authorized by law. If you give permission, the researchers could use or share with the people identified in this authorization any protected health information related to this research from your medical records and from any test results including, but not limited to genetic testing, HIV testing, and hepatitis testing.

If you give permission, the researchers could also use your protected health information to develop new procedures or commercial products. They could share your protected health information with the research sponsor, the WCMC IRB, inspectors who check the research, government agencies and research staff. The information that may be shared could include your medical record number and your research record related to this database/tissue bank. They may not be considered covered entities under the Privacy Rule and your information would not be subject to protections under the Privacy Rule.",,,,,,,,,,,,,
risks_v3,consent_form_signature,"What are the risks of the clinical database and tissue bank?",descriptive,"<U>Risk of Loss of Confidentiality</U>  
Your clinical information (including protected health information) is being collected while you are participating. This information may be shared with other investigators. Since your personal health information will be used, there is the risk of loss of confidentiality. Every effort will be made to protect your privacy. The government does not require everyone who might see your information to keep it confidential, so it might not remain private. 

Efforts will be made to protect your medical records and other personal information to the extent allowed by law. We use a coding system that protects the identity of individuals who provide samples. The coding system has been reviewed and approved by the Institutional Review Board (IRB). However, we cannot guarantee absolute confidentiality. If information goes to an outside entity then the privacy rule may not apply. You will not be identified personally in any reports or publications resulting from this research study. Your personal information may be disclosed if required by law. Organizations that may request to inspect and/or copy your research and medical records for quality assurance and data analysis include groups such as:
<UL>
<LI>Representatives of Weill Cornell Medical College and New York-Presbyterian Hospital
<LI>The Institutional Review Board (IRB)
<LI>The Office of Human Research Protection (OHRP)
</UL>
By signing this consent form, you authorize access to this confidential information. You also authorize the release of your medical records to WCMC by any other hospitals or institutions where you might receive medical care of any kind while you are participating in this research study.",,,,,,,,,,,,,
are_there_any_benefits_v3,consent_form_signature,"Are there any benefits to taking part in the study?",descriptive,"We cannot and do not guarantee that you will receive any benefits from this study. We hope to learn more about digestive diseases and how to treat them with this study.",,,,,,,,,,,,,
disclosure_of_results_v3,consent_form_signature,"Disclosure of results",descriptive,"To the extent permitted by law, under no circumstances will any information linking you to specific test results be disclosed to any individual or organization without your written consent. A new Federal law, called the Genetic Information Nondiscrimination Act (GINA), generally makes it illegal for health insurance companies, health plans, and most employers to discriminate against you based on your genetic information. This law generally will protect you in the following ways:
<UL>
<LI>Health insurance companies and group health plans may not request your genetic information that we get from this research.
<LI>Health insurance companies and group health plans may not use your genetic information when making decisions regarding your eligibility or premiums.
<LI>Employers with 15 or more employees may not use your genetic information that we get from this research when making a decision to hire, promote, or fire you or when setting the terms of your employment.
</UL>
Be aware that this new Federal law does not protect you against genetic discrimination by companies that sell life insurance, disability insurance, or long-term care insurance. Nor does this Federal law prohibit discrimination on the basis of an already manifest genetic disease or disorder.",,,,,,,,,,,,,
test_results_v3,consent_form_signature,"Test results and future contact",descriptive,"There may be circumstances when WCMC would like to contact you regarding your samples. For example, it is possible that genetic tests will show a link between your genetic information and a disease or condition. Know this information may help you make choices about you or your family's health care. However, some individuals prefer not to know about their genetic information. At the end of this document, you will have the opportunity to tell us whether or not you want to be contacted in the future. Your decision about future contact will not affect your ability to participate in this research.

<U>Risks and Benefits of Future Contact:</U> WCMC wants you to know that there may be both risks and benefits to consenting to future contact.

The potential risks include: You may be upset to learn that you have a greater chance of having a disease or condition. Even if genetic tests show that you do not have a greater risk of disease, you may still be upset if you know that others in your family have that higher risk of disease.

The potential benefits include: You may benefit from the knowledge that you or your family have a predisposition to a certain disease or condition. This knowledge may help you make informed decisions concerning your lifestyle and health care.

The costs associated with any testing or treatment that is required from these test results will be the responsibility of you and your insurance provider.",,,,,,,,,,,,,
future_testing_v3,consent_form_signature,"Future testing",descriptive,"The samples that you give to WCMC could one day lead to discoveries using methods and tests not yet developed. To that end, WCMC would like to keep the samples for as long as they are deemed useful for research purposes. This research could potentially be used for purposes not specified above.

You have the right to withdraw your consent at any time, and may request that the samples you give to WCMC be destroyed. If you choose to do so, contact your study provider. Although you are free to withdraw your consent, it is possible the samples may have already been used for research purposes and data derived from such research will not be destroyed. In that event, WCMC will promptly destroy any remaining samples. Additionally if WCMC has shared the samples with third parties, WCMC will not be able to destroy the samples. Also, cancelling your permission will not apply to clinical information (including protected health information) that has already been used or shared.",,,,,,,,,,,,,
comm_interest_v3,consent_form_signature,"Commercial interest",descriptive,"Materials or data obtained from you in this research may be used for commercial purposes. It is the policy of WCMC not to provide financial compensation to you should this occur.",,,,,,,,,,,,,
what_are_the_costs_v3,consent_form_signature,"What are the costs?",descriptive,"You or your insurance company will not incur any additional costs by participating in this clinical database and tissue bank.",,,,,,,,,,,,,
compensation_for_part_v3,consent_form_signature,"Compensation for participation",descriptive,"You will not receive compensation for participating in this study. You should not expect anyone to pay you for pain, worry, lost income, or non-medical care costs that occur from taking part in this research study.",,,,,,,,,,,,,
what_are_my_rights_v3,consent_form_signature,"What are my rights as a participant?",descriptive,"Taking part in this clinical database and tissue bank is voluntary. You may choose to not take part in the study or to leave the study at any time. If you choose to not participate in the study or to leave the study, your regular care will not be affected nor will your relations with WCMC, your providers, or other medical personnel. In addition, you will not lose any of the benefits to which you are entitled. We will tell you about new information that may affect your health, welfare, or participation in this study.",,,,,,,,,,,,,
questions_problems_v3,consent_form_signature,"Whom do I call if I have questions or problems?",descriptive,"For questions about the research y or if you think that something unusual or unexpected is happening, call your WCMC provider. If you are calling after hours, please ask to speak with your treating physician. Be sure to inform the answering service of your participation in this research study. If you have questions about your rights as a research participant, contact the WCMC IRB Office. Direct your questions to: Institutional Review Board at:

1300 York Avenue, Box 89 
New York, New York 10065

Telephone: (646) 962-8200",,,,,,,,,,,,,
title_pi_v3,consent_form_signature,,descriptive,"Project Title: Weill Cornell Digestive Disease Registry

Principal Investigator: Manish A. Shah, M.D.",,,,,,,,,,,,,
consent_status_v3,consent_form_signature,,checkbox,"Digestive Disease Registry Acknowledgement:","1, Investigators may store my tissue. | 2, Investigators may share my clinical information and tissue with researchers at outside institutions. | 3, I agree to be contacted in the future for any or all purposes* including research purposes, provision of general information about research findings, and information about the tests done on the samples that may affect me or my family. *Checking here does not mean I will be contacted about future research findings. | 4, I would like to be contacted about future research findings.",,,,,,,,,,,,
subject_statement_v3,consent_form_signature,"Subject's Statement:",descriptive,"I, the undersigned, have been informed about this study's purpose, procedures, possible benefits and risks, and I have received a copy of this consent. I have been given the opportunity to ask questions before I sign, and I have been told that I can ask other questions at any time. I voluntarily agree to participate in this study. I am free to withdraw from the study at any time without need to justify my decision. This withdrawal will not in any way affect my future treatment or medical management and I will not lose any benefits to which I otherwise am entitled. I agree to cooperate with Dr. Shah and the research staff and to inform them immediately if I experience any unexpected or unusual symptoms.",,,,,,,,,,,,,
signature_v3,consent_form_signature,,file,"Signature of Subject",,,signature,,,y,,y,,,,,
printed_name_v3,consent_form_signature,,descriptive,"Printed Name of Subject: [subject_v2]",,,,,,,,,,,,,
datetime_v3,consent_form_signature,,text,"Date ",,,date_mdy,,,,,,,,,,"@HIDDEN-SURVEY @TODAY @READONLY"
footer,consent_form_signature,,descriptive,"
<p style=""text-align:left;"">
Weill Cornell Medical College
ICF Version Date 11/10/2016
45108         Rev 10-2012
<span style=""float:right;"">IRB Protocol # 0908010582</span>
</p>
",,,,,,,,,,,,,
title_pi_v3_ea7024,reelection,,descriptive,"Project Title: Weill Cornell Digestive Disease Registry

Principal Investigator: Manish A. Shah, M.D.",,,,,,,,,,,,,
consent_status_v3_97bdb2,reelection,,checkbox,"Digestive Disease Registry Acknowledgement:","1, Investigators may store my tissue. | 2, Investigators may share my clinical information and tissue with researchers at outside institutions. | 3, I agree to be contacted in the future for any or all purposes* including research purposes, provision of general information about research findings, and information about the tests done on the samples that may affect me or my family. *Checking here does not mean I will be contacted about future research findings. | 4, I would like to be contacted about future research findings.",,,,,,,,,,,,
subject_statement_v3_a5e3e2,reelection,"Subject's Statement:",descriptive,"I, the undersigned, have been informed about this study's purpose, procedures, possible benefits and risks, and I have received a copy of this consent. I have been given the opportunity to ask questions before I sign, and I have been told that I can ask other questions at any time. I voluntarily agree to participate in this study. I am free to withdraw from the study at any time without need to justify my decision. This withdrawal will not in any way affect my future treatment or medical management and I will not lose any benefits to which I otherwise am entitled. I agree to cooperate with Dr. Shah and the research staff and to inform them immediately if I experience any unexpected or unusual symptoms.",,,,,,,,,,,,,
signature_v3_0cffa7,reelection,,file,"Signature of Subject",,,signature,,,y,,y,,,,,
printed_name_v3_1ff682,reelection,,text,"Printed Name of Subject",,,,,,,,y,,,,,
datetime_v3_c9433f,reelection,,text,"Date ",,,date_mdy,,,,,,,,,,"@HIDDEN-SURVEY @TODAY @READONLY"
footer_19f86f,reelection,,descriptive,"
<p style=""text-align:left;"">
Weill Cornell Medical College
ICF Version Date 11/10/2016
45108         Rev 10-2012
<span style=""float:right;"">IRB Protocol # 0908010582</span>
</p>
",,,,,,,,,,,,,
would_the_study_participan_v2,withdraw_consent,,yesno,"Would the study participant like to withdraw their consent from this research project?",,,,,,,,y,,,,,
why_is_the_study_participa,withdraw_consent,,dropdown,"Why is the study participant choosing to withdraw from this research project","1, No longer willing to be compliant | 2, Concerns about privacy | 3, Other","If study participant chose 'Other', fill in the comment box below with the reason why.",autocomplete,,,,,y,,,,,
q2_other_fill_in_box,withdraw_consent,,notes,"If the study participant selected 'other' in response to the previous question, please specify the reason.",,,,,,,,,,,,,
select_the_rc_ra_that_spok,withdraw_consent,,dropdown,"Select the RC/RA that spoke with the subject","1, Bridget | 2, Joyce | 3, Julianna | 4, Kendall | 5, Malinka | 6, Rachel",,autocomplete,,,y,,y,,,,,
date_v2,withdraw_consent,,text,Date,,,date_mdy,,,,,,,,,,"@HIDDEN-SURVEY @TODAY @READONLY"
footer3_v2,withdraw_consent,,descriptive,"
<p style=""text-align:left;"">
Weill Cornell Medical College
ICF Version Date 11/10/2016
45108         Rev 10-2012
<span style=""float:right;"">IRB Protocol # 0908010582</span>
</p>
",,,,,,,,,,,,,
